(3, 0, 3.401),
(3, 0.1, 4.498),
(3, 0.2, 4.381),
(3, 0.3, 3.467),

(4, 0, 6.158),
(4, 0.1, 5.525),
(4, 0.2, 8.992),
(4, 0.3, 5.957),

(5, 0, 10.469),
(5, 0.1, 9.557),
(5, 0.2, 11.451),
(5, 0.3, 9.782),

(6, 0, 17.492),
(6, 0.1, 17.219),
(6, 0.2, 25.061),
(6, 0.3, 24.227),

(9, 0.1, 110.904),
(9, 0.2, 373.422),
(9, 0.3, 1182.08),
(8, 0, 39.259),
(8, 0.1, 54.483),
(8, 0.2, 87.171),
(8, 0.3, 266.154),

(7, 0, 22.214),
(7, 0.1, 30.934),
(7, 0.2, 31.968),
(7, 0.3, 60.435),

(3, 0.05, 2.911),
(3, 0.15, 3.668),
(3, 0.25, 3.371),
(4, 0.05, 5.465),
(4, 0.15, 6.786),
(4, 0.25, 4.963),
(5, 0.05, 8.291),
(5, 0.15, 11.283),
(5, 0.25, 12.028),
(6, 0.05, 17.78),
(6, 0.15, 15.719),
(6, 0.25, 29.449),
(7, 0.05, 27.374),
(7, 0.15, 32.88),
(7, 0.25, 61.613),
(8, 0.05, 41.909),
(8, 0.15, 58.214),
(8, 0.25, 224.864),

(10, 0, 143.527),
(10, 0.05, 254.224),
(10, 0.1, 370.88),
(10, 0.15, 579.899),
(10, 0.2, 1287.583),
(10, 0.25, 2513.193),
(10, 0.3, 3814.495),
